코드 번호	회사명	업종 (대)	코드 번호	코드 번호
A035610	솔본	지주사	KQ	35610
A001630	종근당홀딩스	지주사	KS	1630
A302430	이노메트리	IT 장비 및 소재	KQ	302430
A204270	제이앤티씨	IT 장비 및 소재	KQ	204270
A155660	DSR	철강 및 비철강	KS	155660
A095570	AJ네트웍스	운송 및 물류	KS	95570
A118000	우리들휴브레인	의료기기 및 용품	KS	118000
A900280	골든센츄리	기계	KQ	900280
A011760	현대코퍼레이션	일반서비스	KS	11760
A015860	일진홀딩스	지주사	KS	15860
A126640	화신정공	자동차 및 관련부품	KQ	126640
A002270	롯데푸드	식음료	KS	2270
A200780	비씨월드제약	제약 및 바이오	KQ	200780
A002960	한국쉘석유	석유 및 가스	KS	2960
A014570	고려제약	제약 및 바이오	KQ	14570
A096630	에스코넥	IT 장비 및 소재	KQ	96630
A029530	신도리코	전기 및 전자기기	KS	29530
A002220	한일철강	철강 및 비철강	KS	2220
A129260	인터지스	운송 및 물류	KS	129260
A264900	크라운제과	식음료	KS	264900
A004440	삼일씨엔에스	건설 및 건축자재	KS	4440
A030610	교보증권	금융	KS	30610
A196300	애니젠	제약 및 바이오	KQ	196300
A199820	제일전기공업	전기 및 전자기기	KQ	199820
A318000	한국바이오젠	화학	KQ	318000
A054950	제이브이엠	의료기기 및 용품	KQ	54950
A018120	진로발효	식음료	KQ	18120
A224060	코디엠	반도체 관련장비 및 부품	KQ	224060
A026040	제이에스티나	섬유 및 의류	KQ	26040
A023790	동일철강	철강 및 비철강	KQ	23790
A007280	한국특강	철강 및 비철강	KS	7280
A095190	이엠코리아	기계	KQ	95190
A037760	쎄니트	미디어 및 엔터	KQ	37760
A110990	디아이티	디스플레이 장비 및 부품	KQ	110990
A351330	이삭엔지니어링	IT서비스	KQ	351330
A002390	한독	제약 및 바이오	KS	2390
A029460	케이씨	반도체 관련장비 및 부품	KS	29460
A036120	SCI평가정보	일반서비스	KQ	36120
A007820	에스엠코어	기계	KQ	7820
A263770	유에스티	철강 및 비철강	KQ	263770
A279600	미디어젠	IT서비스	KQ	279600
A036800	나이스정보통신	IT서비스	KQ	36800
A143540	영우디에스피	디스플레이 장비 및 부품	KQ	143540
A190650	코리아에셋투자증권	금융	KQ	190650
A311690	CJ 바이오사이언스	의료기기 및 용품	KQ	311690
A088260	이리츠코크렙	일반서비스	KS	88260
A063760	이엘피	디스플레이 장비 및 부품	KQ	63760
A014470	부방	가정용품	KQ	14470
A006140	피제이전자	의료기기 및 용품	KQ	6140
A331920	셀레믹스	제약 및 바이오	KQ	331920
A217730	강스템바이오텍	제약 및 바이오	KQ	217730
A001380	SG글로벌	자동차 및 관련부품	KS	1380
A053210	스카이라이프	미디어 및 엔터	KS	53210
A002920	유성기업	자동차 및 관련부품	KS	2920
A017510	세명전기	기계	KQ	17510
A260970	에스앤디	식음료	KQ	260970
A267790	배럴	섬유 및 의류	KQ	267790
A053580	웹케시	IT서비스	KQ	53580
A293480	하나제약	제약 및 바이오	KS	293480
A003120	일성신약	제약 및 바이오	KS	3120
A003060	에이프로젠제약	제약 및 바이오	KS	3060
A131760	파인텍	디스플레이 장비 및 부품	KQ	131760
A214680	디알텍	의료기기 및 용품	KQ	214680
A216050	인크로스	미디어 및 엔터	KQ	216050
A011390	부산산업	건설 및 건축자재	KS	11390
A291650	압타머사이언스	제약 및 바이오	KQ	291650
A307280	원바이오젠	의료기기 및 용품	KQ	307280
A234340	세틀뱅크	IT서비스	KQ	234340
A361670	삼영에스앤씨	전기 및 전자기기	KQ	361670
A087010	펩트론	제약 및 바이오	KQ	87010
